W00-1401 "Evaluation Metrics for Generation"
W13-1604 "Spanish DAL: A Spanish Dictionary of Affect in Language"
W13-1605 "The perfect solution for detecting sarcasm in tweets #not"
W13-1606 "Using PU-Learning to Detect Deceptive Opinion Spam"
W13-1607 "Sexual predator detection in chats with chained classifiers"
W13-1608 "Subjectivity and Sentiment Analysis of Modern Standard Arabic and Arabic Microblogs"
W13-1609 "Sentiment Analysis in Czech Social Media Using Supervised Machine Learning"
W13-1610 "Tagging Opinion Phrases and their Targets in User Generated Textual Reviews"
W13-1611 "From newspaper to microblogging: What does it take to find opinions?"
W13-1612 "Bilingual Experiments on an Opinion Comparable Corpus"
W13-1613 "RA-SR: Using a ranking algorithm to automatically building resources for subjectivity analysis over annotated corpora"
W13-1614 "Sentiment analysis on Italian tweets"
W13-1615 "Sentence-Level Subjectivity Detection Using Neuro-Fuzzy Models"
W13-1616 "Sentiment Classification using Rough Set based Hybrid Feature Selection"
W13-1901 "Earlier Identification of Epilepsy Surgery Candidates Using Natural Language Processing"
W13-1902 "Identification of Patients with Acute Lung Injury from Free-Text Chest X-Ray Reports"
W13-1903 "Discovering Temporal Narrative Containers in Clinical Text"
W13-1904 "Identifying Pathological Findings in German Radiology Reports Using a Syntacto-semantic Parsing Approach"
W13-1905 "Corpus-Driven Terminology Development: Populating Swedish SNOMED CT with Synonyms Extracted from Electronic Health Records"
W13-1906 "Unsupervised Linguistically-Driven Reliable Dependency Parses Detection and Self-Training for Adaptation to the Biomedical Domain"
W13-1907 "Interpreting Consumer Health Questions: The Role of Anaphora and Ellipsis"
W13-1908 "Evaluating Large-scale Text Mining Applications Beyond the Traditional Numeric Performance Measures"
W13-1909 "Recognizing Sublanguages in Scientific Journal Articles through Closure Properties"
W13-1910 "BEL Networks Derived from Qualitative Translations of BioNLP Shared Task Annotations"
W13-1911 "Exploring Word Class N-grams to Measure Language Development in Children"
W13-1912 "Adapting a Parser to Clinical Text by Simple Pre-processing Rules"
W13-1913 "Using the Argumentative Structure of Scientific Literature to Improve Information Access"
W13-1914 "Using Latent Dirichlet Allocation for Child Narrative Analysis"
W13-1915 "Effect of Out Of Vocabulary Terms on Inferring Eligibility Criteria for a Retrospective Study in Hebrew EHR"
W13-2001 "Overview of BioNLP Shared Task 2013"
W13-2002 "The Genia Event Extraction Shared Task, 2013 Edition - Overview"
W13-2003 "TEES 2.1: Automated Annotation Scheme Learning in the BioNLP 2013 Shared Task"
W13-2004 "EVEX in ST'13: Application of a large-scale text mining resource to event extraction and network construction"
W13-2005 "Extracting Biomedical Events and Modifications Using Subgraph Matching with Noisy Training Data"
W13-2006 "Biomedical Event Extraction by Multi-class Classification of Pairs of Text Entities"
W13-2007 "GRO Task: Populating the Gene Regulation Ontology with events and relations"
W13-2008 "Overview of the Cancer Genetics (CG) task of BioNLP Shared Task 2013"
W13-2009 "Overview of the Pathway Curation (PC) task of BioNLP Shared Task 2013"
W13-2010 "Generalizing an Approximate Subgraph Matching-based System to Extract Events in Molecular Biology and Cancer Genetics"
W13-2011 "Performance and limitations of the linguistically motivated Cocoa/Peaberry system in a broad biological domain."
W13-2012 "NaCTeM EventMine for BioNLP 2013 CG and PC tasks"
W13-2013 "BioNLP Shared Task 2013: Supporting Resources"
W13-2014 "A fast rule-based approach for biomedical event extraction"
W13-2015 "Improving Feature-Based Biomedical Event Extraction System by Integrating Argument Information"
W13-2016 "UZH in BioNLP 2013"
W13-2017 "A Hybrid approach for biomedical event extraction"
W13-2018 "Identification of Genia Events using Multiple Classifiers"
W13-2019 "Exploring a Probabilistic Earley Parser for Event Composition in Biomedical Texts"
W13-2020 "Detecting Relations in the Gene Regulation Network"
W13-2021 "Ontology-based semantic annotation: an automatic hybrid rule-based method"
W13-2022 "Building A Contrasting Taxa Extractor for Relation Identification from Assertions: BIOlogical Taxonomy & Ontology Phrase Extraction System"
W13-2023 "BioNLP Shared Task 2013 \u2013 An overview of the Genic Regulation Network Task"
W13-2024 "BioNLP shared Task 2013 \u2013 An Overview of the Bacteria Biotope Task"
W13-2025 "Bacteria Biotope Detection, Ontology-based Normalization, and Relation Extraction using Syntactic Rules"
W13-2026 "Extracting Gene Regulation Networks Using Linear-Chain Conditional Random Fields and Rules"
W13-2101 "Aligning Formal Meaning Representations with Surface Strings for Wide-Coverage Text Generation"
W13-2102 "Exploiting Ontology Lexica for Generating Natural Language Texts from RDF Data"
W13-2103 "User-Controlled, Robust Natural Language Generation from an Evolving Knowledge Base"
W13-2104 "Enhancing the Expression of Contrast in the SPaRKy Restaurant Corpus"
W13-2105 "Generating Elliptic Coordination"
W13-2106 "Using Integer Linear Programming for Content Selection, Lexicalization, and Aggregation to Produce Compact Texts from OWL Ontologies"
W13-2107 "Generating and Interpreting Referring Expressions as Belief State Planning and Plan Recognition"
W13-2108 "Graphs and Spatial Relations in the Generation of Referring Expressions"
W13-2109 "What and Where: An Empirical Investigation of Pointing Gestures and Descriptions in Multimodal Referring Actions"
W13-2110 "Natural Language Generation and Summarization at RALI"
W13-2111 "The KBGen Challenge"
W13-2112 "Overview of the First Content Selection Challenge from Open Semantic Web Data"
W13-2113 "Narrative Composition: Achieving the Perceived Linearity of Narrative"
W13-2114 "Generating Natural Language Questions to Support Learning On-Line"
W13-2115 "Generating Student Feedback from Time-Series Data Using Reinforcement Learning"
W13-2116 "Deconstructing Human Literature Reviews \u2013 A Framework for Multi-Document Summarization"
W13-2117 "Abstractive Meeting Summarization with Entailment and Fusion"
W13-2118 "Automatic Voice Selection in Japanese based on Various Linguistic Information"
W13-2119 "MIME - NLG in Pre-Hospital Care"
W13-2120 "Generation of Quantified Referring Expressions: Evidence from Experimental Data"
W13-2121 "POS-Tag Based Poetry Generation with WordNet"
W13-2122 "Greetings Generation in Video Role Playing Games"
W13-2123 "On the Feasibility of Automatically Describing n-dimensional Objects"
W13-2124 "GenNext: A Consolidated Domain Adaptable NLG System"
W13-2125 "Adapting SimpleNLG for Bilingual English-French Realisation"
W13-2126 "A Case Study Towards Turkish Paraphrase Alignment"
W13-2127 "Towards NLG for Physiological Data Monitoring with Body Area Networks"
W13-2128 "MIME- NLG Support for Complex and Unstable Pre-hospital Emergencies"
W13-2129 "Thoughtland: Natural Language Descriptions for Machine Learning n-dimensional Error Functions"
W13-2130 "An Automatic Method for Building a Data-to-Text Generator"
W13-2131 "LOR-KBGEN, A Hybrid Approach To Generating from the KBGen Knowledge-Base"
W13-2132 "Team UDEL KBGen 2013 Challenge"
W13-2133 "Content Selection Challenge - University of Aberdeen Entry"
W13-2201 "Findings of the 2013 Workshop on Statistical Machine Translation"
W13-2202 "Results of the WMT13 Metrics Shared Task"
W13-2203 "The Feasibility of HMEANT as a Human MT Evaluation Metric"
W13-2204 "LIMSI @ WMT13"
W13-2205 "The CMU Machine Translation Systems at WMT 2013: Syntax, Synthetic Translation Options, and Pseudo-References"
W13-2206 "Feature Decay Algorithms for Fast Deployment of Accurate Statistical Machine Translation Systems"
W13-2207 "CUni Multilingual Matrix in the WMT 2013 Shared Task"
W13-2208 "Chimera \u2013 Three Heads for English-to-Czech Translation"
W13-2209 "Yandex School of Data Analysis Machine Translation Systems for WMT13"
W13-2210 "The Karlsruhe Institute of Technology Translation Systems for the WMT 2013"
W13-2211 "T\u00dcB\u0130TAK-B\u0130LGEM German-English Machine Translation Systems for W13"
W13-2212 "Edinburgh\u2019s Machine Translation Systems for European Language Pairs"
W13-2213 "Munich-Edinburgh-Stuttgart Submissions of OSM Systems at WMT13"
W13-2214 "Towards Efficient Large-Scale Feature-Rich Statistical Machine Translation"
W13-2215 "The TALP-UPC Phrase-Based Translation Systems for WMT13: System Combination with Morphology Generation, Domain Adaptation and Corpus Filtering"
W13-2216 "PhraseFix: Statistical Post-Editing of TectoMT"
W13-2217 "Feature-Rich Phrase-based Translation: Stanford University\u2019s Submission to the WMT 2013 Translation Task"
W13-2218 "Factored Machine Translation Systems for Russian-English"
W13-2219 "Omnifluent English-to-French and Russian-to-English Systems for the 2013 Workshop on Statistical Machine Translation"
W13-2220 "Pre-Reordering for Machine Translation Using Transition-Based Walks on Dependency Parse Trees"
W13-2221 "Edinburgh\u2019s Syntax-Based Machine Translation Systems"
W13-2222 "Shallow Semantically-Informed PBSMT and HPBSMT"
W13-2223 "Joint WMT 2013 Submission of the QUAERO Project"
W13-2224 "The RWTH Aachen Machine Translation System for WMT 2013"
W13-2225 "The University of Cambridge Russian-English System at WMT13"
W13-2226 "Joshua 5.0: Sparser, Better, Faster, Server"
W13-2227 "The CNGL-DCU-Prompsit Translation Systems for WMT13"
W13-2228 "QCRI-MES Submission at WMT13: Using Transliteration Mining to Improve Statistical Machine Translation"
W13-2229 "Tunable Distortion Limits and Corpus Cleaning for SMT"
W13-2230 "Munich-Edinburgh-Stuttgart Submissions at WMT13: Morphological and Syntactic Processing for SMT"
W13-2231 "Coping with the Subjectivity of Human Judgements in MT Quality Estimation"
W13-2232 "Online Polylingual Topic Models for Fast Document Translation Detection"
W13-2233 "Combining Bilingual and Comparable Corpora for Low Resource Machine Translation"
W13-2234 "Generating English Determiners in Phrase-Based Translation with Synthetic Translation Options"
W13-2235 "Dramatically Reducing Training Data Size Through Vocabulary Saturation"
W13-2236 "Multi-Task Learning for Improved Discriminative Training in SMT"
W13-2237 "Online Learning Approaches in Computer Assisted Translation"
W13-2238 "Length-Incremental Phrase Training for SMT"
W13-2239 "Positive Diversity Tuning for Machine Translation System Combination"
W13-2240 "Selecting Feature Sets for Comparative and Time-Oriented Quality Estimation of Machine Translation Output"
W13-2241 "SHEF-Lite: When Less is More for Translation Quality Estimation"
W13-2242 "Referential Translation Machines for Quality Estimation"
W13-2243 "FBK-UEdin Participation to the WMT13 Quality Estimation Shared Task"
W13-2244 "The TALP-UPC Approach to System Selection: Asiya Features and Pairwise Classification Using Random Forests"
W13-2245 "Quality Estimation for Machine Translation Using the Joint Method of Evaluation Criteria and Statistical Modeling"
W13-2246 "MT Quality Estimation: The CMU System for WMT\u201913"
W13-2247 "LORIA System for the WMT13 Quality Estimation Shared Task"
W13-2248 "LIG System for WMT13 QE Task: Investigating the Usefulness of Features in Word Confidence Estimation for MT"
W13-2249 "DCU-Symantec at the WMT 2013 Quality Estimation Shared Task"
W13-2250 "LIMSI Submission for the WMT\u201913 Quality Estimation Task: an Experiment with N-Gram Posteriors"
W13-2251 "Ranking Translations using Error Analysis and Quality Estimation"
W13-2252 "Are ACT\u2019s Scores Increasing with Better Translation Quality?"
W13-2253 "A Description of Tunable Machine Translation Evaluation Systems in WMT13 Metrics Task"
W13-2254 "MEANT at WMT 2013: A Tunable, Accurate yet Inexpensive Semantic Frame Based MT Evaluation Metric"
W13-2255 "An Approach Using Style Classification Features for Quality Estimation"
W13-2256 "DCU Participation in WMT2013 Metrics Task"
W13-2257 "Efficient Solutions for Word Reordering in German-English Phrase-Based Statistical Machine Translation"
W13-2258 "A Phrase Orientation Model for Hierarchical Machine Translation"
W13-2259 "A Dependency-Constrained Hierarchical Model with Moses"
W13-2260 "Investigations in Exact Inference for Hierarchical Translation"
W13-2261 "Evaluating (and Improving) Sentence Alignment under Noisy Conditions"
W13-2262 "Multi-Rate HMMs for Word Alignment"
W13-2263 "Hidden Markov Tree Model for Word Alignment"
W13-2301 "Automatic Correction and Extension of Morphological Annotations"
W13-2302 "POS Tagging for Historical Texts with Sparse Training Data"
W13-2303 "Utilizing State-of-the-art Parsers to Diagnose Problems in Treebank Annotation for a Less Resourced Language"
W13-2304 "Influence of preprocessing on dependency syntax annotation: speed and agreement"
W13-2305 "Continuous Measurement Scales in Human Evaluation of Machine Translation"
W13-2306 "Entailment: An Effective Metric for Comparing and Evaluating Hierarchical and Non-hierarchical Annotation Schemes"
W13-2307 "A Framework for (Under)specifying Dependency Syntax without Overloading Annotators"
W13-2308 "Converting Italian Treebanks: Towards an Italian Stanford Dependency Treebank"
W13-2309 "Analyses of the Association between Discourse Relation and Sentiment Polarity with a Chinese Human-Annotated Corpus"
W13-2310 "Towards a Better Understanding of Discourse: Integrating Multiple Discourse Annotation Perspectives Using UIMA"
W13-2311 "Making UIMA Truly Interoperable with SPARQL"
W13-2312 "Importing MASC into the ANNIS linguistic database: A case study of mapping GrAF"
W13-2313 "Generic noun phrases and annotation of coreference and bridging relations in the Prague Dependency Treebank"
W13-2314 "Annotating Anaphoric Shell Nouns with their Antecedents"
W13-2315 "Applicative Structures and Immediate Discourse in the Turkish Discourse Bank"
W13-2316 "TURKSENT: A Sentiment Annotation Tool for Social Media"
W13-2317 "Tweet Conversation Annotation Tool with a Focus on an Arabic Dialect, Moroccan Darija"
W13-2318 "Relation Annotation for Understanding Research Papers"
W13-2319 "Developing Parallel Sense-tagged Corpora with Wordnets"
W13-2320 "Animacy Annotation in the Hindi Treebank"
W13-2321 "Automatic Named Entity Pre-annotation for Out-of-domain Human Annotation"
W13-2322 "Abstract Meaning Representation for Sembanking"
W13-2323 "The Benefits of a Model of Annotation"
W13-2324 "Ranking the annotators: An agreement study on argumentation structure"
W13-2325 "Leveraging Crowdsourcing for Paraphrase Recognition"
W13-2326 "Investigation of annotator\u2019s behaviour using eye-tracking data"
W13-2327 "Enunciative and modal variations in newswire texts in French: From guideline to automatic annotation"
W13-2601 "Why is English so easy to segment?"
W13-2602 "A model of generalization in distributional learning of phonetic categories"
W13-2603 "Learning non-concatenative morphology"
W13-2604 "Statistical Representation of Grammaticality Judgements: the Limits of N-Gram Models"
W13-2605 "An Analysis of Memory-based Processing Costs using Incremental Deep Syntactic Dependency Parsing"
W13-2606 "Computational simulations of second language construction learning"
W13-2607 "The semantic augmentation of a psycholinguistically-motivated syntactic formalism"
W13-2608 "Evaluating Neighbor Rank and Distance Measures as Predictors of Semantic Priming"
W13-2609 "Concreteness and Corpora: A Theoretical and Practical Study"
W13-2610 "On the Information Conveyed by Discourse Markers"
W13-3901 "SLPAT in practice: lessons from translational research"
W13-3902 "Individuality-Preserving Voice Conversion for Articulation Disorders Using Locality-Constrained NMF"
W13-3903 "Analyzing the Performance of Automatic Speech Recognition for Ageing Voice: Does it Correlate with Dependency Level?"
W13-3904 "Visual Subtitles for Internet Videos"
W13-3905 "Comparing and combining classifiers for self-taught vocal interfaces"
W13-3906 "homeService: Voice-enabled assistive technology in the home using cloud-based automatic speech recognition"
W13-3907 "Automating speech reception threshold measurements using automatic speech recognition"
W13-3908 "Improving Continuous Sign Language Recognition: Speech Recognition Techniques and System Design"
W13-3909 "Automatic speech recognition in the diagnosis of primary progressive aphasia"
W13-3910 "Automatic Speech Recognition: A Shifted Role in Early Speech Intervention?"
W13-3911 "Making Speech-Based Assistive Technology Work for a Real User"
W13-3912 "Probabilistic Dialogue Modeling for Speech-Enabled Assistive Technology"
W13-3913 "A Self Learning Vocal Interface for Speech-impaired Users"
W13-3914 "The dramatic piece reader for the blind and visually impaired"
W13-3915 "Sub-lexical Dialogue Act Classification in a Spoken Dialogue System Support for the Elderly with Cognitive Disabilities"
W13-3916 "Experimental Evaluation of Speech Recognition Technologies for Voice-based Home Automation Control in a Smart Home"
W13-3917 "Towards Personalised Synthesised Voices for Individuals with Vocal Disabilities: Voice Banking and Reconstruction"
W13-3918 "Automatic Monitoring of Activities of Daily Living based on Real-life Acoustic Sensor Data: a~preliminary study"
W13-3919 "Word Recognition from Continuous Articulatory Movement Time-series Data using Symbolic Representations"
W13-4101 "Why Words Alone Are Not Enough: Error Analysis of Lexicon-based Polarity Classifier for Czech"
W13-4102 "Topic Modeling with Sentiment Clues and Relaxed Labeling Schema"
W13-4103 "Bilingual analysis of LOVE and HATRED emotional markers (SPSS-based approach)"
W14-0501 "Challenging incrementality in human language processing: two operations for a cognitive architecture"
W14-0502 "A Brazilian Portuguese Phonological-prosodic Algorithm Applied to Language Acquisition: A Case Study"
W14-0503 "Bayesian inference as a cross-linguistic word segmentation strategy: Always learning useful things"
W14-0504 "Learning the hyperparameters to learn morphology"
W14-0505 "An explicit statistical model of learning lexical segmentation using multiple cues"
W14-0506 "Distributional Learning as a Theory of Language Acquisition"
W14-0507 "A multimodal corpus for the evaluation of computational models for (grounded) language acquisition"
W14-0508 "Towards a computational model of grammaticalization and lexical diversity"
W14-0509 "How well can a corpus-derived co-occurrence network simulate human associative behavior?"
W14-0510 "Agent-based modeling of language evolution"
W14-0801 "Breaking Bad: Extraction of Verb-Particle Constructions from a Parallel Subtitles Corpus"
W14-0802 "A Supervised Model for Extraction of Multiword Expressions, Based on Statistical Context Features"
W14-0803 "VPCTagger: Detecting Verb-Particle Constructions With Syntax-Based Methods"
W14-0804 "The Relevance of Collocations for Parsing"
W14-0805 "Parsing Modern Greek verb MWEs with LFG/XLE grammars"
W14-0806 "Evaluation of a Substitution Method for Idiom Transformation in Statistical Machine Translation"
W14-0807 "Encoding MWEs in a conceptual lexicon"
W14-0808 "German Compounds and Statistical Machine Translation. Can they get along?"
W14-0809 "Extracting MWEs from Italian corpora: A case study for refining the POS-pattern methodology"
W14-0810 "Mickey Mouse is not a Phrase: Improving Relevance in E-Commerce with Multiword Expressions"
W14-0811 "Encoding of Compounds in Swedish FrameNet"
W14-0812 "Extraction of Nominal Multiword Expressions in French"
W14-0813 "Towards an Empirical Subcategorization of Multiword Expressions"
W14-0814 "Contexts, Patterns, Interrelations - New Ways of Presenting Multi-word Expressions"
W14-0815 "Detecting change and emergence for multiword expressions"
W14-0816 "An Approach to Take Multi-Word Expressions"
W14-0817 "Paraphrasing Swedish Compound Nouns in Machine Translation"
W14-0818 "Feature Norms of German Noun Compounds"
W14-0819 "Identifying collocations using cross-lingual association measures"
W14-0820 "Unsupervised Construction of a Lexicon and a Repository of Variation Patterns for Arabic Modal Multiword Expressions"
W14-1901 "Standing on the shoulders of giants: attacking the meta-problems of technical AAC research"
W14-1902 "Graphical Modification of Text. An Approach To Dyslexic Users."
W14-1903 "Dialogue Strategy Learning in Healthcare: A Systematic Approach for Learning Dialogue Models from Data"
W14-1904 "Speech recognition in Alzheimer's disease with personal assistive robots"
W14-1905 "Individuality-preserving Voice Conversion for Articulation Disorders Using Dictionary Selective Non-negative Matrix Factorization"
W14-2001 "Computationally Rational Saccadic Control: An Explanation of Spillover Effects Based on Sampling from Noisy Perception and Memory"
W14-2002 "Investigating the role of entropy in sentence processing"
W14-2003 "Sentence Processing in a Vectorial Model of Working Memory"
W14-2004 "Evaluating Evaluation Metrics for Minimalist Parsing"
W14-2005 "Learning Verb Classes in an Incremental Model"
W14-2006 "A Usage-Based Model of Early Grammatical Development"
W14-2007 "A Model to Qualify the Linguistic Adaptation Phenomenon in Online Conversation Threads: Analyzing Priming Effect in Online Health Community"
W14-2401 "Learning a Lexicon for Broad-coverage Semantic Parsing"
W14-2402 "Semantic Parsing using Distributional Semantics and Probabilistic Logic"
W14-2403 "Large-scale CCG Induction from the Groningen Meaning Bank"
W14-2404 "Semantic Parsing for Text to 3D Scene Generation"
W14-2405 "A Deep Architecture for Semantic Parsing"
W14-2406 "Combining Formal and Distributional Models of Temporal and Intensional Semantics"
W14-2407 "Cooking with Semantics"
W14-2408 "Representing Caused Motion in Embodied Construction Grammar"
W14-2409 "Low-Dimensional Embeddings of Logic"
W14-2410 "Software Requirements: A new Domain for Semantic Parsers"
W14-2411 "From Treebank Parses to Episodic Logic and Commonsense Inference"
W14-2412 "On maximum spanning DAG algorithms for semantic DAG parsing"
W14-2413 "Intermediary Semantic Representation through Proposition Structures"
W14-2414 "Efficient Logical Inference for Semantic Processing"
W14-2415 "Towards README-EVAL : Interpreting README File Instructions"
W14-2601 "Words: Evaluative, Emotional, Colourful, Musical!"
W14-2602 "Robust Cross-Domain Sentiment Analysis for Low-Resource Languages"
W14-2603 "An Investigation for Implicatures in Chinese : Implicatures in Chinese and in English are similar !"
W14-2604 "Inducing Domain-specific Noun Polarity Guided by Domain-independent Polarity Preferences of Adjectives"
W14-2605 "Aspect-Level Sentiment Analysis in Czech"
W14-2606 "Linguistic Models of Deceptive Opinion Spam"
W14-2607 "Semantic Role Labeling of Emotions in Tweets"
W14-2608 "An Impact Analysis of Features in a Classification Approach to Irony Detection in Product Reviews"
W14-2609 "Modelling Sarcasm in Twitter, a Novel Approach"
W14-2610 "Emotive or Non-emotive: That is The Question"
W14-2611 "Challenges in Creating a Multilingual Sentiment Analysis Application for Social Media Mining"
W14-2612 "Two-Step Model for Sentiment Lexicon Extraction from Twitter Streams"
W14-2613 "Linguistically Informed Tweet Categorization for Online Reputation Management"
W14-2614 "Credibility Adjusted Term Frequency: A Supervised Term Weighting Scheme for Sentiment Analysis and Text Classification"
W14-2616 "Sentiment classification of online political discussions: a comparison of a word-based and dependency-based method"
W14-2617 "Improving Agreement and Disagreement Identification in Online Discussions with A Socially-Tuned Sentiment Lexicon"
W14-2618 "Lexical Acquisition for Opinion Inference: A Sense-Level Lexicon of Benefactive and Malefactive Events"
W14-2619 "Dive deeper: Deep Semantics for Sentiment Analysis"
W14-2620 "Evaluating Sentiment Analysis Evaluation: A Case Study in Securities Trading"
W14-2621 "Sentiment Classification on Polarity Reviews: An Empirical Study Using Rating-based Features"
W14-2622 "Effect of Using Regression on Class Confidence Scores in Sentiment Analysis of Twitter Data"
W14-2623 "A cognitive study of subjectivity extraction in sentiment annotation"
W14-2624 "The Use of Text Similarity and Sentiment Analysis to Examine Rationales in the Large-Scale Online Deliberations"
W14-3301 "Efficient Elicitation of Annotations for Human Evaluation of Machine Translation"
W14-3302 "Findings of the 2014 Workshop on Statistical Machine Translation"
W14-3303 "Parallel FDA5 for Fast Deployment of Accurate Statistical Machine Translation Systems"
W14-3304 "Yandex School of Data Analysis Russian-English Machine Translation System for WMT14"
W14-3305 "CimS \u2013 The CIS and IMS joint submission to WMT 2014 translating from English into German"
W14-3306 "English-to-Hindi system description for WMT 2014: Deep Source-Context Features for Moses"
W14-3307 "The KIT-LIMSI Translation System for WMT 2014"
W14-3308 "The IIT Bombay Hindi-English Translation System at WMT 2014"
W14-3309 "Edinburgh\u2019s Phrase-based Machine Translation Systems for WMT-14"
W14-3310 "EU-BRIDGE MT: Combined Machine Translation"
W14-3311 "Phrasal: A Toolkit for New Directions in Statistical Machine Translation"
W14-3312 "Anaphora Models and Reordering for Phrase-Based SMT"
W14-3313 "The Karlsruhe Institute of Technology Translation Systems for the WMT 2014"
W14-3314 "The DCU-ICTCAS MT system at WMT 2014 on German-English Translation Task"
W14-3315 "The CMU Machine Translation Systems at WMT 2014"
W14-3316 "Stanford University\u2019s Submissions to the WMT 2014 Translation Task"
W14-3317 "The RWTH Aachen German-English Machine Translation System for WMT 2014"
W14-3318 "Large-scale Exact Decoding: The IMS-TTT submission to WMT14"
W14-3319 "Abu-MaTran at WMT 2014 Translation Task: Two-step Data Selection and RBMT-Style Synthetic Rules"
W14-3320 "The UA-Prompsit hybrid machine translation system for the 2014 Workshop on Statistical Machine Translation"
W14-3321 "Machine Translation and Monolingual Postediting: The AFRL WMT-14 System"
W14-3322 "CUNI in WMT14: Chimera Still Awaits Bellerophon"
W14-3323 "Manawi: Using Multi-Word Expressions and Named Entities to Improve Machine Translation"
W14-3324 "Edinburgh\u2019s Syntax-Based Systems at WMT 2014"
W14-3325 "DCU-Lingo24 Participation in WMT 2014 Hindi-English Translation task"
W14-3326 "Machine Translation of Medical Texts in the Khresmoi Project"
W14-3327 "Postech's System Description for Medical Text Translation Task"
W14-3328 "Domain Adaptation for Medical Text Translation using Web Resources"
W14-3329 "DCU Terminology Translation System for Medical Query Subtask at WMT14"
W14-3330 "LIMSI $@$ WMT\u201914 Medical Translation Task"
W14-3331 "Combining Domain Adaptation Approaches for Medical Text Translation"
W14-3332 "Experiments in Medical Translation Shared Task at WMT 2014"
W14-3333 "Randomized Significance Tests in Machine Translation"
W14-3334 "Estimating Word Alignment Quality for SMT Reordering Tasks"
W14-3335 "Dependency-based Automatic Enumeration of Semantically Equivalent Word Orders for Evaluating Japanese Translations"
W14-3336 "Results of the WMT14 Metrics Shared Task"
W14-3337 "Efforts on Machine Learning over Human-mediated Translation Edit Rate"
W14-3338 "SHEF-Lite 2.0: Sparse Multi-task Gaussian Processes for Translation Quality Estimation"
W14-3339 "Referential Translation Machines for Predicting Translation Quality"
W14-3340 "FBK-UPV-UEdin participation in the WMT14 Quality Estimation shared-task"
W14-3341 "Target-Centric Features for Translation Quality Estimation"
W14-3342 "LIG System for Word Level QE task at WMT14"
W14-3343 "Exploring Consensus in Machine Translation for Quality Estimation"
W14-3344 "LIMSI Submission for WMT'14 QE Task"
W14-3345 "Parmesan: Meteor without Paraphrases with Paraphrased References"
W14-3346 "A Systematic Comparison of Smoothing Techniques for Sentence-Level BLEU"
W14-3347 "VERTa participation in the WMT14 Metrics Task"
W14-3348 "Meteor Universal: Language Specific Translation Evaluation for Any Target Language"
W14-3349 "Application of Prize based on Sentence Length in Chunk-based Automatic Evaluation of Machine Translation"
W14-3350 "LAYERED: Metric for Machine Translation Evaluation"
W14-3351 "IPA and STOUT: Leveraging Linguistic and Source-based Features for Machine Translation Evaluation"
W14-3352 "DiscoTK: Using Discourse Structure for Machine Translation Evaluation"
W14-3353 "Tolerant BLEU: a Submission to the WMT14 Metrics Task"
W14-3354 "BEER: BEtter Evaluation as Ranking"
W14-3355 "RED, The DCU-CASICT Submission of Metrics Tasks"
W14-3356 "Crowdsourcing High-Quality Parallel Data Extraction from Twitter"
W14-3357 "Using Comparable Corpora to Adapt MT Models to New Domains"
W14-3358 "Dynamic Topic Adaptation for SMT using Distributional Profiles"
W14-3359 "Unsupervised Adaptation for Statistical Machine Translation"
W14-3360 "An Empirical Comparison of Features and Tuning for Phrase-based Machine Translation"
W14-3361 "Bayesian Reordering Model with Feature Selection"
W14-3362 "Augmenting String-to-Tree and Tree-to-String Translation with Non-Syntactic Phrases"
W14-3402 "Temporal Expression Recognition for Cell Cycle Phase Concepts in Biomedical Literature"
W14-3403 "Classifying Negative Findings in Biomedical Publications"
W14-3404 "Automated Disease Normalization with Low Rank Approximations"
W14-3405 "Decomposing Consumer Health Questions"
W14-3406 "Detecting Health Related Discussions in Everyday Telephone Conversations for Studying Medical Events in the Lives of Older Adults"
W14-3407 "Coreference Resolution for Structured Drug Product Labels"
W14-3408 "Generating Patient Problem Lists from the ShARe Corpus using SNOMED CT/SNOMED CT CORE Problem List"
W14-3409 "A System for Predicting ICD-10-PCS Codes from Electronic Health Records"
W14-3410 "Structuring Operative Notes using Active Learning"
W14-3411 "Chunking Clinical Text Containing Non-Canonical Language"
W14-3412 "Decision Style in a Clinical Reasoning Corpus"
W14-3413 "Temporal Expressions in Swedish Medical Text \u2013 A Pilot Study"
W14-3414 "A repository of semantic types in the MIMIC II database clinical notes"
W14-3415 "Extracting drug indications and adverse drug reactions from Spanish health social media"
W14-3416 "Symptom extraction issue"
W14-3417 "Seeking Informativeness in Literature Based Discovery"
W14-3418 "Towards Gene Recognition from Rare and Ambiguous Abbreviations using a Filtering Approach"
W14-3419 "FFTM: A Fuzzy Feature Transformation Method for Medical Documents"
W14-4301 "Keynote: Statistical Approaches to Open-domain Spoken Dialogue Systems"
W14-4302 "Crowdsourcing Street-level Geographic Information Using a Spoken Dialogue System"
W14-4303 "Out-of-Domain Spoken Dialogs in the Car: A WoZ Study"
W14-4304 "Situated Language Understanding at 25 Miles per Hour"
W14-4305 "Information Navigation System Based on POMDP that Tracks User Focus"
W14-4306 "Adapting to Personality Over Time: Examining the Effectiveness of Dialogue Policy Progressions in Task-Oriented Interaction"
W14-4307 "Probabilistic Human-Computer Trust Handling"
W14-4308 "Learning non-cooperative dialogue behaviours"
W14-4309 "Improving Classification-Based Natural Language Understanding with Non-Expert Annotation"
W14-4310 "User Modeling by Using Bag-of-Behaviors for Building a Dialog System Sensitive to the Interlocutor's Internal State"
